customer_id,customer_name,gender,age,customer_type,city,join_date,email,phone,loyalty_points,is_outlier_loyalty,is_outlier
1,Customer_0001,Male,68,Occasional,Chennai,2020-03-18,cust0001@email.com,+91-7722558006,3148,False,False
2,Customer_0002,Female,54,New,Mumbai,2021-09-09,cust0002@email.com,+91-8512585138,1351,False,False
3,Customer_0003,Female,25,Regular,Chennai,2021-12-07,cust0003@email.com,+91-7726990714,2821,False,False
4,Customer_0004,Female,24,Occasional,Delhi,2021-03-26,cust0004@email.com,+91-7601117291,3827,False,False
5,Customer_0005,Male,31,New,Bangalore,2021-04-26,cust0005@email.com,+91-9347398593,669,False,False
6,Customer_0006,Male,20,Regular,Delhi,2021-05-18,cust0006@email.com,+91-9097302637,4813,False,False
7,Customer_0007,Male,67,Regular,Mumbai,2021-08-12,cust0007@email.com,+91-7790479137,2646,False,False
8,Customer_0008,Female,33,New,Chennai,2021-09-19,cust0008@email.com,+91-9328460033,266,False,False
9,Customer_0009,Female,36,Regular,Bangalore,2020-02-09,cust0009@email.com,+91-9756550636,1438,False,False
10,Customer_0010,Female,68,VIP,Goa,2020-06-22,cust0010@email.com,+91-7252252252,2693,False,False
11,Customer_0011,Male,35,Regular,Bangalore,2021-10-04,cust0011@email.com,+91-9250324141,1022,False,False
12,Customer_0012,Other,69,VIP,Bangalore,2020-05-07,cust0012@email.com,+91-7145271935,2037,False,False
13,Customer_0013,Female,33,Regular,Delhi,2020-10-26,cust0013@email.com,+91-7319246679,564,False,False
14,Customer_0014,Male,25,Regular,Goa,2021-11-30,cust0014@email.com,+91-9869963931,1059,False,False
15,Customer_0015,Male,50,Occasional,Mumbai,2021-12-02,cust0015@email.com,+91-7208367732,1424,False,False
16,Customer_0016,Male,66,Regular,Mumbai,2021-09-28,cust0016@email.com,+91-7027418321,4123,False,False
17,Customer_0017,Male,29,Occasional,Bangalore,2021-05-23,cust0017@email.com,+91-8771211118,219,False,False
