customer_id,customer_name,gender,age,customer_type,city,join_date,email,phone,loyalty_points,age_group,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Group,RFM_Score,Segment
1,Customer_0001,Male,68,Occasional,Chennai,2020-03-18,cust0001@email.com,+91-7722558006,3148,55+,190.0,3.0,8415.25,3.0,1.0,1.0,311,5.0,Promising
2,Customer_0002,Female,54,New,Mumbai,2021-09-09,cust0002@email.com,+91-8512585138,1351,45-54,39.0,6.0,18151.65,5.0,4.0,3.0,543,12.0,Champions
3,Customer_0003,Female,25,Regular,Chennai,2021-12-07,cust0003@email.com,+91-7726990714,2821,25-34,63.0,5.0,14289.5,4.0,3.0,3.0,433,10.0,Loyal Customers
4,Customer_0004,Female,24,Occasional,Delhi,2021-03-26,cust0004@email.com,+91-7601117291,3827,<25,9.0,3.0,6347.23,5.0,1.0,1.0,511,7.0,New Customers
5,Customer_0005,Male,31,New,Bangalore,2021-04-26,cust0005@email.com,+91-9347398593,669,25-34,55.0,6.0,19087.28,4.0,4.0,3.0,443,11.0,Champions
6,Customer_0006,Male,20,Regular,Delhi,2021-05-18,cust0006@email.com,+91-9097302637,4813,<25,135.0,6.0,24447.55,3.0,4.0,4.0,344,11.0,Loyal Customers
7,Customer_0007,Male,67,Regular,Mumbai,2021-08-12,cust0007@email.com,+91-7790479137,2646,55+,201.0,4.0,12800.47,2.0,2.0,2.0,222,6.0,Need Attention
8,Customer_0008,Female,33,New,Chennai,2021-09-19,cust0008@email.com,+91-9328460033,266,25-34,94.0,8.0,19047.11,4.0,5.0,3.0,453,12.0,Champions
9,Customer_0009,Female,36,Regular,Bangalore,2020-02-09,cust0009@email.com,+91-9756550636,1438,35-44,1.0,6.0,28339.31,5.0,4.0,5.0,545,14.0,Champions
10,Customer_0010,Female,68,VIP,Goa,2020-06-22,cust0010@email.com,+91-7252252252,2693,55+,528.0,4.0,12040.37,1.0,2.0,2.0,122,5.0,Lost / Hibernating
11,Customer_0011,Male,35,Regular,Bangalore,2021-10-04,cust0011@email.com,+91-9250324141,1022,35-44,378.0,4.0,16168.460000000001,1.0,2.0,3.0,123,6.0,Lost / Hibernating
12,Customer_0012,Other,69,VIP,Bangalore,2020-05-07,cust0012@email.com,+91-7145271935,2037,55+,175.0,4.0,12766.8,3.0,2.0,2.0,322,7.0,Need Attention
13,Customer_0013,Female,33,Regular,Delhi,2020-10-26,cust0013@email.com,+91-7319246679,564,25-34,382.0,6.0,15347.85,1.0,4.0,3.0,143,8.0,Can't Lose Them
14,Customer_0014,Male,25,Regular,Goa,2021-11-30,cust0014@email.com,+91-9869963931,1059,25-34,8.0,8.0,31651.59,5.0,5.0,5.0,555,15.0,Champions
15,Customer_0015,Male,50,Occasional,Mumbai,2021-12-02,cust0015@email.com,+91-7208367732,1424,45-54,87.0,6.0,20058.47,4.0,4.0,4.0,444,12.0,Champions
16,Customer_0016,Male,66,Regular,Mumbai,2021-09-28,cust0016@email.com,+91-7027418321,4123,55+,159.0,4.0,22606.13,3.0,2.0,4.0,324,9.0,Need Attention
17,Customer_0017,Male,29,Occasional,Bangalore,2021-05-23,cust0017@email.com,+91-8771211118,219,25-34,257.0,5.0,33186.01,2.0,3.0,5.0,235,10.0,At Risk
18,Customer_0018,Female,28,Regular,Bangalore,2021-05-08,cust0018@email.com,+91-7590521614,405,25-34,125.0,4.0,19672.0,3.0,2.0,4.0,324,9.0,Need Attention
19,Customer_0019,Male,22,Regular,Chennai,2020-08-02,cust0019@email.com,+91-9708842947,1637,<25,97.0,5.0,20511.09,4.0,3.0,4.0,434,11.0,Loyal Customers
20,Customer_0020,Male,44,Regular,Goa,2020-04-25,cust0020@email.com,+91-7993998848,2318,35-44,121.0,8.0,23848.14,3.0,5.0,4.0,354,12.0,Loyal Customers
21,Customer_0021,Female,29,Regular,Bangalore,2021-12-05,cust0021@email.com,+91-7291920078,1759,25-34,95.0,4.0,7182.91,4.0,2.0,1.0,421,7.0,Potential Loyalists
22,Customer_0022,Male,34,New,Chennai,2020-06-06,cust0022@email.com,+91-7648667392,1674,25-34,118.0,6.0,26609.73,3.0,4.0,5.0,345,12.0,Loyal Customers
23,Customer_0023,Male,23,Regular,Goa,2021-06-12,cust0023@email.com,+91-7039262289,791,<25,315.0,2.0,9843.15,2.0,1.0,2.0,212,5.0,About to Sleep
24,Customer_0024,Male,50,Occasional,Mumbai,2020-03-07,cust0024@email.com,+91-7939393836,3582,45-54,37.0,4.0,12813.75,5.0,2.0,2.0,522,9.0,Potential Loyalists
25,Customer_0025,Male,22,Regular,Chennai,2020-01-14,cust0025@email.com,+91-9172106337,1309,<25,17.0,4.0,12610.34,5.0,2.0,2.0,522,9.0,Potential Loyalists
